f1,f2,f3,k1,k2,k3,dense,drop,lr,batch,epochs,mae_log,rmse_log,mae_lin,rmse_lin
96,128,128,5,7,5,64,0.3,0.0007,256,20,0.18475548923015594,0.23680870234966278,9.591046333312988,12.673178672790527
128,128,96,9,7,3,64,0.1,0.001,64,20,0.18561241030693054,0.2324531376361847,9.85888385772705,13.474275588989258
128,96,96,5,9,5,128,0.2,0.001,64,16,0.1882893592119217,0.23725394904613495,9.957975387573242,13.552837371826172
128,64,128,5,9,5,192,0.3,0.0007,256,12,0.19314195215702057,0.24479345977306366,10.197189331054688,13.952500343322754
128,64,96,9,5,5,64,0.1,0.001,128,16,0.20650064945220947,0.2656363546848297,10.692444801330566,13.780152320861816
128,64,160,5,9,7,192,0.3,0.0007,64,16,0.21103428304195404,0.2683406174182892,11.256397247314453,15.13766860961914
128,64,96,9,7,3,64,0.1,0.0005,64,20,0.22329893708229065,0.2846665382385254,11.783047676086426,15.09711742401123
64,64,128,5,7,5,192,0.2,0.001,256,16,0.2230595499277115,0.28422510623931885,11.995338439941406,15.96268081665039
